


Brokerage

Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 09/09/2022, YOU SOLD VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,-1,371.05,,0.01,,371.04,09/13/2022
 09/08/2022, DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash), MSFT, MICROSOFT CORP,Cash,,,,,,14.88,
 09/08/2022, DIVIDEND RECEIVED ISHARES TR PFD AND INCM SEC (PFF) (Cash), PFF, ISHARES TR PFD AND INCM SEC,Cash,,,,,,25.95,
 09/08/2022, DIVIDEND RECEIVED ISHARES TR IBOXX HI YD ETF (HYG) (Cash), HYG, ISHARES TR IBOXX HI YD ETF,Cash,,,,,,23.79,
 09/08/2022, DIVIDEND RECEIVED ISHARES TR JP MOR EM MK ETF (EMB) (Cash), EMB, ISHARES TR JP MOR EM MK ETF,Cash,,,,,,20.59,
 09/08/2022, DIVIDEND RECEIVED ISHARES CORE US AGGREGATE BOND ETF (AGG) (Cash), AGG, ISHARES CORE US AGGREGATE BOND ETF,Cash,,,,,,1.84,
 09/08/2022, DIVIDEND RECEIVED ISHARES INC JP MRGN EM HI BD (EMHY) (Cash), EMHY, ISHARES INC JP MRGN EM HI BD,Cash,,,,,,20.56,
 09/06/2022, YOU BOUGHT VERIZON COMMUNICATIONS INC (VZ) (Cash), VZ, VERIZON COMMUNICATIONS INC,Cash,1,41.1,,,,-41.1,09/08/2022
 09/06/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,357.99,,,,-357.99,09/08/2022
 09/06/2022, YOU BOUGHT ISHARES TRUST CORE DIVID GWTH (DGRO) (Cash), DGRO, ISHARES TRUST CORE DIVID GWTH,Cash,1,48.45,,,,-48.45,09/08/2022
 09/06/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,63.24,,,,-63.24,09/08/2022
 09/06/2022, YOU BOUGHT FIDELITY HIGH DIVIDEND ETF (FDVV) (Cash), FDVV, FIDELITY HIGH DIVIDEND ETF,Cash,1,36.78,,,,-36.78,09/08/2022
 09/06/2022, YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,1,100.14,,,,-100.14,09/08/2022
 09/06/2022, YOU BOUGHT BLACKROCK CORPORATE HIGH YIELD INC COM (HYT) (Cash), HYT, BLACKROCK CORPORATE HIGH YIELD INC COM ,Cash,1,9.51,,,,-9.51,09/08/2022
 09/06/2022, YOU BOUGHT AT&T INC COM USD1 (T) (Cash), T, AT&T INC COM USD1,Cash,1,16.89,,,,-16.89,09/08/2022
 09/02/2022, YOU BOUGHT VERIZON COMMUNICATIONS INC (VZ) (Cash), VZ, VERIZON COMMUNICATIONS INC,Cash,1,41.37,,,,-41.37,09/07/2022
 09/02/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,358.9,,,,-358.9,09/07/2022
 09/02/2022, YOU BOUGHT ISHARES TRUST CORE DIVID GWTH (DGRO) (Cash), DGRO, ISHARES TRUST CORE DIVID GWTH,Cash,1,48.44,,,,-48.44,09/07/2022
 09/02/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,63.74,,,,-63.74,09/07/2022
 09/02/2022, YOU BOUGHT AT&T INC COM USD1 (T) (Cash), T, AT&T INC COM USD1,Cash,1,17.25,,,,-17.25,09/07/2022
 09/01/2022, DIVIDEND RECEIVED PIMCO DYNAMIC INCOME FD COM USD0.00001 (PDI) (Cash), PDI, PIMCO DYNAMIC INCOME FD COM USD0.00001,Cash,,,,,,32.63,
 09/01/2022, DIVIDEND RECEIVED FIDELITY TOTAL BOND ETF (FBND) (Cash), FBND, FIDELITY TOTAL BOND ETF,Cash,,,,,,3.81,
 09/01/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,360.33,,,,-360.33,09/06/2022
